Source,Target,FoodCate,TransMode,ShipValue,ShipWeight,TonMiles
WI,IN,F05,T04,47.35,21.22,3.47
TN,FL,F07,T00,4.29,3.09,1.18
IA,PA,F04,T14,0.00,0.00,0.00
MO,WI,F07,T04,42.68,45.83,12.91
MI,MI,F07,T05,5805.26,11909.33,325.92
SD,IL,F07,T00,37.17,61.16,19.26
MI,PA,F07,T04,316.31,567.98,159.34
WI,PA,F06,T14,0.01,0.00,0.00
LA,LA,F07,T04,937.20,2882.62,93.31
AL,NC,F01,T04,2.54,3.15,0.96
PA,CO,F07,T04,67.53,37.25,28.93
IA,LA,F06,T04,13.74,26.53,14.38
TN,MN,F06,T04,11.34,6.01,2.88
OR,AR,F08,T04,0.06,0.02,0.03
KS,NJ,F06,T04,10.18,22.72,14.46
MI,CA,F04,T04,9.91,21.37,23.03
CO,WI,F00,T00,0.00,0.00,0.00
AZ,NJ,F07,T14,11.65,0.66,0.79
OK,UT,F04,T04,0.25,0.05,0.03
MO,TN,F09,T04,1.15,0.04,0.01
NM,MT,F06,T04,2.86,5.21,3.58
AZ,ME,F03,T04,3.81,3.82,5.81
TX,IN,F08,T04,1.10,0.69,0.40
AR,AL,F08,T04,12.16,5.67,2.23
LA,AL,F04,T04,24.46,97.05,23.53
AR,NJ,F07,T14,0.49,0.04,0.02
MN,MN,F04,T05,1670.44,9188.03,153.22
MA,MD,F07,T05,42.74,144.19,25.92
IA,MN,F07,T06,33.77,67.87,9.29
WA,MT,F04,T04,70.46,43.68,12.82
TX,SC,F04,T04,4.30,9.41,5.32
IN,AR,F06,T05,8.72,14.91,3.72
MI,MO,F06,T05,1.09,0.82,0.20
OR,IL,F03,T04,134.42,171.81,175.12
NC,SC,F07,T04,267.83,628.01,49.51
CT,CO,F07,T14,0.06,0.00,0.00
WV,WV,F08,T05,308.25,480.48,5.58
CA,OR,F01,T11,3.28,1.14,0.53
AL,IL,F07,T04,15.84,11.28,4.46
NV,TX,F07,T14,0.06,0.01,0.00
CA,NC,F07,T04,66.07,32.71,42.99
NY,MI,F08,T04,282.85,293.51,66.32
NC,SC,F07,T05,301.33,868.39,56.72
NJ,OH,F06,T14,0.10,0.02,0.01
NM,TX,F05,T05,217.67,63.52,9.07
KS,NV,F05,T04,75.93,15.32,8.60
MS,GA,F07,T14,4.95,1.81,0.38
NJ,MD,F06,T14,0.01,0.01,0.00
PA,AZ,F06,T04,2.44,1.49,1.76
KS,FL,F04,T04,105.03,116.82,84.64
TX,NC,F05,T04,281.36,143.99,99.72
MO,MT,F06,T04,0.02,0.00,0.00
UT,IN,F07,T14,1.00,0.13,0.10
NC,WA,F09,T04,128.08,4.99,7.19
WI,WA,F05,T04,33.59,11.73,10.84
NJ,OH,F07,T05,58.30,65.13,13.38
NM,IN,F07,T04,10.57,6.76,4.28
MT,OR,F00,T00,19.60,55.99,33.62
WI,AR,F03,T04,4.30,58.09,20.46
